1 3 0	1 -1 0	-2 -1 0	
0.9999999999952 2.99999999997798 0	0.999999999977778 -0.999999999990625 0	-1.99999999996862 -0.9999999999952 0	
0.99999879519385 2.99999447169939 0	0.999994422192373 -0.999997646864553 0	-1.99999212413585 -0.99999879519385 0	
0.999995190372941 2.99997793086748 0	0.999977733186193 -0.999990606222138 0	-1.99996855926244 -0.99999519037294 0	
0.999989185481966 2.99995037734401 0	0.999949932676384 -0.999978878020839 0	-1.99992930495694 -0.999989185481965 0	
0.999980780436798 2.99991181089871 0	0.999911020191734 -0.999962462189786 0	-1.99987436056726 -0.999980780436792 0	
0.999969975119679 2.99986223120919 0	0.999860995072645 -0.999941358629787 0	-1.99980372518056 -0.999969975119656 0	
0.999956769379192 2.99980163786104 0	0.999799856471059 -0.999915567213322 0	-1.99971739762321 -0.999956769379138 0	
0.9999411630303 2.99973003034777 0	0.999727603350364 -0.999885087784544 0	-1.99961537646067 -0.999941163030163 0	
0.999923155854278 2.99964740807075 0	0.999644234485317 -0.999849920159289 0	-1.99949765999736 -0.999923155853978 0	
0.999902747598743 2.99955377033925 0	0.999549748461912 -0.999810064125058 0	-1.99936424627645 -0.999902747598132 0	
0.999879937977612 2.99944911637032 0	0.999444143677232 -0.999765519441036 0	-1.99921513307975 -0.999879937976462 0	
0.9998547266711 2.99933344528885 0	0.999327418339311 -0.999716285838079 0	-1.99905031792746 -0.999854726669053 0	
0.999827113325687 2.99920675612748 0	0.999199570466948 -0.999662363018709 0	-1.99886979807795 -0.999827113322227 0	
0.999797097554096 2.99906904782654 0	0.999060597889517 -0.999603750657125 0	-1.99867357052747 -0.999797097548499 0	
0.999764678935291 2.99892031923408 0	0.99891049824676 -0.999540448399205 0	-1.99846163200992 -0.999764678926558 0	
0.999729857014421 2.99876056910577 0	0.998749268988548 -0.999472455862495 0	-1.9982339789965 -0.999729857001207 0	
0.999692631302806 2.99858979610481 0	0.998576907374632 -0.99939977263621 0	-1.99799060769539 -0.999692631283335 0	
0.999653001277905 2.99840799880192 0	0.99839341047438 -0.999322398281241 0	-1.9977315140514 -0.999653001249879 0	
0.99961096638328 2.99821517567529 0	0.998198775166494 -0.999240332330146 0	-1.99745669374557 -0.999610966343779 0	
0.999566526028568 2.99801132511048 0	0.997992998138693 -0.999153574287157 0	-1.99716614219478 -0.999566525973912 0	
0.99951967958943 2.99779644540036 0	0.997776075887396 -0.999062123628175 0	-1.99685985455131 -0.999519679515057 0	
0.999470426407526 2.99757053474506 0	0.997548004717375 -0.998965979800773 0	-1.99653782570236 -0.999470426307827 0	
0.99941876579047 2.99733359125181 0	0.9973087807414 -0.998865142224191 0	-1.9962000502696 -0.999418765658628 0	
0.999364697011773 2.99708561293499 0	0.997058399879844 -0.998759610289334 0	-1.99584652260863 -0.999364696839574 0	
0.999308219310822 2.99682659771593 0	0.996796857860289 -0.998649383358792 0	-1.99547723680848 -0.999308219088448 0	
0.999249331892803 2.99655654342282 0	0.996524150217108 -0.998534460766807 0	-1.99509218669098 -0.999249331608606 0	
0.999188033928679 2.99627544779073 0	0.99624027229102 -0.998414841819295 0	-1.99469136581028 -0.999188033568928 0	
0.99912432455511 2.99598330846138 0	0.995945219228629 -0.998290525793841 0	-1.99427476745211 -0.999124324103743 0	
0.99905820287442 2.99568012298313 0	0.995638985981952 -0.998161511939697 0	-1.99384238463325 -0.999058202312738 0	
0.998989667954528 2.99536588881082 0	0.99532156730791 -0.998027799477784 0	-1.99339421010077 -0.998989667260888 0	
0.998918718828894 2.99504060330565 0	0.994992957767822 -0.997889387600691 0	-1.99293023633143 -0.998918717978372 0	
0.998845354496452 2.9947042637351 0	0.994653151726844 -0.997746275472674 0	-1.99245045553087 -0.998845353460484 0	
0.998769573921557 2.99435686727284 0	0.994302143353433 -0.997598462229655 0	-1.99195485963294 -0.998769572667546 0	
0.998691376033906 2.99399841099848 0	0.993939926618758 -0.997445946979233 0	-1.99144344029885 -0.998691374524802 0	
0.998610759728477 2.99362889189759 0	0.99356649529609 -0.997288728800666 0	-1.99091618891644 -0.998610757922345 0	
0.998527723865459 2.99324830686149 0	0.993181842960196 -0.997126806744886 0	-1.99037309659931 -0.998527721714991 0	
0.998442267270175 2.99285665268712 0	0.992785962986685 -0.996960179834497 0	-1.98981415418596 -0.9984422647222 0	
0.99835438873302 2.9924539260769 0	0.992378848551357 -0.996788847063771 0	-1.98923935223894 -0.998354385727951 0	
0.998264087009357 2.99204012363861 0	0.991960492629512 -0.996612807398656 0	-1.98864868104389 -0.998264083480639 0	
0.998171360819466 2.99161524188523 0	0.991530887995239 -0.996432059776765 0	-1.98804213060863 -0.998171356692959 0	
0.998076208848445 2.99117927723473 0	0.991090027220707 -0.996246603107396 0	-1.98741969066219 -0.998076204041799 0	
0.997978629746129 2.99073222601001 0	0.990637902675399 -0.996056436271518 0	-1.98678135065382 -0.997978624168114 0	
0.997878622127007 2.99027408443867 0	0.990174506525348 -0.995861558121772 0	-1.98612709975191 -0.997878615676786 0	
0.997776184570131 2.98980484865286 0	0.989699830732353 -0.995661967482494 0	-1.98545692684301 -0.997776177136527 0	
0.997671315619023 2.98932451468911 0	0.989213867053156 -0.995457663149686 0	-1.98477082053068 -0.99767130707972 0	
0.997564013781588 2.98883307848817 0	0.988716607038602 -0.995248643891046 0	-1.98406876913441 -0.99756400400231 0	
0.997454277529999 2.98833053589481 0	0.988208042032792 -0.995034908445951 0	-1.98335076068845 -0.997454266363642 0	
0.997342105300627 2.98781688265761 0	0.98768816317219 -0.994816455525478 0	-1.98261678294067 -0.997342092586331 0	
0.997227495493922 2.98729211442885 0	0.987156961384729 -0.994593283812392 0	-1.98186682335131 -0.997227481056124 0	
0.997110446474302 2.98675622676427 0	0.986614427388866 -0.994365391961153 0	-1.98110086909176 -0.997110430121736 0	
0.996990956570068 2.98620921512285 0	0.986060551692644 -0.994132778597924 0	-1.98031890704331 -0.996990938094707 0	
0.996869024073287 2.98565107486666 0	0.985495324592717 -0.993895442320584 0	-1.97952092379582 -0.996869003249239 0	
0.996744647239673 2.9850818012606 0	0.984918736173342 -0.993653381698705 0	-1.97870690564639 -0.996744623822039 0	
0.996617824288486 2.98450138947223 0	0.984330776305358 -0.993406595273592 0	-1.97787683859802 -0.996617798012157 0	
0.996488553402409 2.98390983457154 0	0.983731434645145 -0.993155081558261 0	-1.97703070835819 -0.996488523980809 0	
0.996356832727429 2.98330713153075 0	0.983120700633535 -0.992898839037456 0	-1.97616850033744 -0.996356799851215 0	
0.99622266037272 2.98269327522403 0	0.98249856349473 -0.992637866167662 0	-1.97529019964791 -0.996222623708419 0	
0.996086034410516 2.98206826042734 0	0.98186501223517 -0.992372161377094 0	-1.97439579110181 -0.9960859935991 0	
0.995946952875999 2.98143208181812 0	0.981220035642385 -0.992101723065729 0	-1.97348525920995 -0.995946907531404 0	
0.995805413767147 2.98078473397516 0	0.980563622283822 -0.991826549605287 0	-1.97255858818011 -0.995805363474745 0	
0.995661415044617 2.98012621137826 0	0.979895760505642 -0.991546639339266 0	-1.97161576191548 -0.995661359359609 0	
0.995514954631611 2.97945650840804 0	0.97921643843149 -0.991261990582926 0	-1.97065676401304 -0.995514893077362 0	
0.99536603041373 2.97877561934563 0	0.978525643961242 -0.990972601623324 0	-1.96968157776181 -0.995365962480054 0	
0.995214640238857 2.97808353837246 0	0.977823364769724 -0.990678470719306 0	-1.96869018614125 -0.995214565380202 0	
0.995060781916988 2.97738025956999 0	0.977109588305394 -0.990379596101513 0	-1.96768257181944 -0.995060699550587 0	
0.99490445322011 2.97666577691945 0	0.976384301789029 -0.990075975972418 0	-1.96665871715132 -0.994904362724037 0	
0.994745651882031 2.97594008430151 0	0.975647492212321 -0.989767608506317 0	-1.96561860417688 -0.994745552593217 0	
0.994584375598258 2.97520317549612 0	0.97489914633652 -0.989454491849342 0	-1.9645622146193 -0.994584266810385 0	
